Cost Center Code	Legacy Code	School	Address	City	State	Zip Code	Telephone	Fax	Grades	Calendar	Local District	Board District	File Build Date
1585701	5857	107th Street Elementary	147 E 107th St	Los Angeles	CA	90003	323-756-8137	323-779-6942	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1585702	5858	107th Street Elementary Science/Tech/Eng/Arts/Math Magnet	147 E 107th St	Los Angeles	CA	90003	323-756-8137	323-779-6942	1- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1583601	5836	109th Street Elementary	10915 S Mc Kinley Ave	Los Angeles	CA	90059	323-756-9206	323-755-2307	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1708201	7082	10th Street Elementary	1000 Grattan St	Los Angeles	CA	90015	213-380-8990	213-480-6732	1- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1588401	5884	112th Street Elementary	1265 E 112th St	Los Angeles	CA	90059	323-567-2108	323-567-2611	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1586301	5863	116th Street Elementary	11610 Stanford Ave	Los Angeles	CA	90059	323-754-3121	323-777-5977	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1586302	2403	116th Street Elementary DL Two-Way Im Spanish	11610 Stanford Ave	Los Angeles	CA	90059	323-754-3121	323-777-5977	K- 1	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1574001	5740	118th Street Elementary	144 E 118th St	Los Angeles	CA	90061	323-757-1717	323-757-9916	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1574002	2404	118th Street Elementary DL Two-Way Im Spanish	144 E 118th St	Los Angeles	CA	90061	323-757-1717	323-757-9916	K- 1	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1588701	5887	122nd Street Elementary	405 E 122nd St	Los Angeles	CA	90061	323-757-8117	323-757-0689	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1588702	2405	122nd Street Elementary DL Two-Way Im Spanish	405 E 122nd St	Los Angeles	CA	90061	323-757-8117	323-757-0689	K- 1	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1587701	5877	135th Street Elementary	801 W 135th St	Gardena	CA	90247	310-324-4454	310-538-4976	K- 5	1 Trk	S	1-Dr George J McKenna III	2020-05-14
1587702	2433	135th Street Elementary DL Two-Way Im Spanish	801 W 135th St	Gardena	CA	90247	310-324-4454	310-538-4976	K- 1	1 Trk	S	1-Dr George J McKenna III	2020-05-14
1582201	5822	153rd Street Elementary	1605 W 153rd St	Gardena	CA	90247	310-323-1029	310-769-5742	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1582202	2294	153rd Street Elementary DL Two-Way Im Spanish	1605 W 153rd St	Gardena	CA	90247	310-323-1029	310-769-5742	K- 2	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1580801	5808	156th Street Elementary	2100 W 156th St	Gardena	CA	90249	310-324-6639	310-532-2306	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1376701	3767	15th Street Elementary	1527 S Mesa St	San Pedro	CA	90731	310-547-3323	310-547-1156	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1575301	5753	186th Street Elementary	1581 W 186th St	Gardena	CA	90248	310-324-1153	310-323-0388	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1383601	3836	1st Street Elementary	2820 E First St	Los Angeles	CA	90033	323-269-0138	323-269-8776	K- 6	1 Trk	E	2-Monica Garcia	2020-05-14
1727401	7274	20th Street Elementary	1353 E 20th St	Los Angeles	CA	90011	213-747-7151	213-745-7606	K- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1727402	2406	20th Street Elementary DL Two-Way Im Spanish	1353 E 20th St	Los Angeles	CA	90011	213-747-7151	213-745-7606	K- 2	1 Trk	C	2-Monica Garcia	2020-05-14
1732901	7329	232nd Place Elementary	23240 Archibald Ave	Carson	CA	90745	310-830-8710	310-835-1946	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1732902	2439	232nd Place Elementary STEMM Magnet	23240 Archibald Ave	Carson	CA	90745	310-830-8710	310-835-1946	3- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1730101	7301	24th Street Elementary	2055 W 24th St	Los Angeles	CA	90018	323-735-0278	323-730-1865	K- 4	1 Trk	C	1-Dr George J McKenna III	2020-05-14
1728801	7288	28th Street Elementary	2807 Stanford Ave	Los Angeles	CA	90011	323-232-3496	323-232-3029	K- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1728802	2833	28th Street Elementary DL One-Way Im Spanish	2807 Stanford Ave	Los Angeles	CA	90011	323-232-3496	323-232-3029	K- 4	1 TRK	C	2-Monica Garcia	2020-05-14
1657501	6575	2nd Street Elementary	1942 E 2nd St	Los Angeles	CA	90033	323-269-9401	323-780-2912	K- 6	1 Trk	E	2-Monica Garcia	2020-05-14
1657502	2299	2nd Street Elementary DL Two-Way Im Spanish	1942 E 2nd St	Los Angeles	CA	90033	323-269-9401	323-780-2912	K- 2	1 Trk	E	2-Monica Garcia	2020-05-14
1713701	7137	32nd Street USC Performing Arts Magnet	822 W 32nd St	Los Angeles	CA	90007	213-748-0126	213-744-1608	K- 5	1 Trk	C	1-Dr George J McKenna III	2020-05-14
1711001	7110	3rd Street Elementary	201 S June St	Los Angeles	CA	90004	323-939-8337	323-939-3098	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1711002	2832	3rd Street Elementary DL Two-Way Im Korean	201 S June St	Los Angeles	CA	90004	323-939-8337	323-939-3098	K- 5	1 TRK	W	1-Dr George J McKenna III	2020-05-14
1395901	3959	42nd Street Elementary	4231 4th Ave	Los Angeles	CA	90008	323-296-7550	323-292-7680	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1395902	4813	42nd Street Elementary DL World Lang Im Spanish	4231 4th Ave	Los Angeles	CA	90008	323-296-7550	323-292-7680	K- K	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1393201	3932	49th Street Elementary	750 E 49th St	Los Angeles	CA	90011	323-234-9045	323-234-3824	K- 5	1 Trk	C	7-Dr Richard A Vladovic	2020-05-14
1397301	3973	4th Street Elementary	420 S Amalia Ave	Los Angeles	CA	90022	323-266-0182	323-264-4071	2- 5	1 Trk	E	2-Monica Garcia	2020-05-14
1397401	3974	4th Street Primary Center	469 Amalia Ave	Los Angeles	CA	90022	323-268-8775	323-268-8755	K- 1	1 Trk	E	2-Monica Garcia	2020-05-14
1380801	3808	52nd Street Elementary	816 W 51st St	Los Angeles	CA	90037	323-753-3175	323-750-9542	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1378101	3781	54th Street Elementary	5501 S Eileen Ave	Los Angeles	CA	90043	323-294-5275	323-298-0820	K- 6	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1379501	3795	59th Street Elementary	5939 Second Ave	Los Angeles	CA	90043	323-294-5118	323-291-9424	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1680801	6808	61st Street Elementary	6020 S Figueroa St	Los Angeles	CA	90003	323-759-1138	323-750-9685	K- 6	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1680802	2407	61st Street Elementary DL Two-Way Im Spanish	6020 S Figueroa St	Los Angeles	CA	90003	323-759-1138	323-750-9685	K- 1	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1682201	6822	66th Street Elementary	6600 S San Pedro St	Los Angeles	CA	90003	323-753-1589	323-758-6505	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1678101	6781	6th Avenue Elementary	3109 6th Ave	Los Angeles	CA	90018	323-733-9107	323-732-4001	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1678102	2455	6th Avenue Elementary DL Two-Way Im Spanish	3109 6th Ave	Los Angeles	CA	90018	323-733-9107	323-732-4001	K- 2	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1664401	6644	74th Street Elementary	2112 W 74th St	Los Angeles	CA	90047	323-753-2338	323-778-2347	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1664402	6645	74th Street Elementary Gifted Magnet	2112 W 74th St	Los Angeles	CA	90047	323-753-2338	323-778-2347	1- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1663001	6630	75th Street Elementary	142 W 75th St	Los Angeles	CA	90003	323-971-8885	323-778-0783	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1663002	2827	75Th Street Elementary DL Two-Way Im Spanish	142 W 75th St	Los Angeles	CA	90003	323-971-8885	323-778-0783	K- 6	1 TRK	S	7-Dr Richard A Vladovic	2020-05-14
1661601	6616	7th Street Elementary	1570 W 7th St	San Pedro	CA	90732	310-832-1538	310-548-7004	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1554801	5548	92nd Street Elementary	9211 Grape St	Los Angeles	CA	90002	323-564-7946	323-249-9417	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1558201	5582	93rd Street Elementary	330 E 93rd St	Los Angeles	CA	90003	323-754-2869	323-756-8345	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1558202	2818	93rd Street Elementary DL Two-Way Im Spanish	330 E 93rd St	Los Angeles	CA	90003	323-754-2869	323-756-8345	K- 2	1 TRK	S	7-Dr Richard A Vladovic	2020-05-14
1558203	2327	93rd Street Elementary STEAM Magnet	330 E 93rd St	Los Angeles	CA	90003	323-754-2869	323-756-8345	1- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1552101	5521	95th Street Elementary	1109 W 96th St	Los Angeles	CA	90044	323-756-1466	323-754-8339	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1557501	5575	96th Street Elementary	1471 E 96th St	Los Angeles	CA	90002	323-567-8871	323-567-3491	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1557502	2408	96th Street Elementary DL Two-Way Im Spanish	1471 E 96th St	Los Angeles	CA	90002	323-567-8871	323-567-3491	K- 1	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1553401	5534	99th Street Elementary	9900 S Wadsworth Ave	Los Angeles	CA	90002	323-564-2677	323-249-9354	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1550501	5505	9th Street Elementary	835 Stanford Ave	Los Angeles	CA	90021	213-896-2700	213-533-8001	K- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1225001	2250	Academy for Enriched Sciences Elementary Magnet	17551 Miranda St	Encino	CA	91316	818-609-8421	818-609-8424	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1215601	2156	Academia Moderna	2410 Broadway	Walnut Park	CA	90255	323-923-0383	323-923-0380	K- 5	Other	XR	5-Jackie Goldberg	2020-05-14
1526301	5263	Academy of Media Arts	2009 W Martin Luther King Bl	Los Angeles	CA	90062	424-253-8984	   -   -    	9- 9	Other	XR	1-Dr George J McKenna III	2020-05-14
1201301	2013	Accelerated Charter Elementary	3914 S Main St	Los Angeles	CA	90037	323-846-6694	323-846-0686	K- 6	Other	XR	2-Monica Garcia	2020-05-14
1800901	8009	John Adams Middle School	151 W 30th St	Los Angeles	CA	90007	213-745-3700	213-749-8542	6- 8	1 Trk	C	2-Monica Garcia	2020-05-14
1800902	8008	John Adams Middle School Gifted Magnet	151 W 30th St	Los Angeles	CA	90007	213-745-3700	213-749-8542	6- 8	1 Trk	C	2-Monica Garcia	2020-05-14
1872601	8726	Jane Addams Continuation High	16341 Donmetz St	Granada Hills	CA	91344	818-271-2946	818-271-2569	9-12	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1850701	8507	William Tell Aggeler Opportunity High School	21050 Plummer St	Chatsworth	CA	91311	818-341-1232	818-349-1404	7-12	Contin	NW	3-Scott M Schmerelson	2020-05-14
1201401	2014	Albion Street Elementary	322 S Avenue 18	Los Angeles	CA	90031	323-221-3108	323-223-4077	K- 6	1 Trk	E	2-Monica Garcia	2020-05-14
1202701	2027	Aldama Elementary	632 N Avenue 50	Los Angeles	CA	90042	323-255-1434	323-254-2159	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1202702	2768	Aldama Elementary DL Two-Way Im Spanish	632 N Avenue 50	Los Angeles	CA	90042	323-255-1434	323-254-2159	K- 5	1 TRK	C	5-Jackie Goldberg	2020-05-14
1511101	5111	Dr Theodore T Alexander Jr Science Center School	3737 S Figueroa St	Los Angeles	CA	90007	213-746-1995	213-746-7443	K- 5	1 Trk	C	1-Dr George J McKenna III	2020-05-14
1511102	2810	Dr Theodore T Alexander Jr Science Ctr DL Two-Way Im Spanish	3737 S Figueroa St	Los Angeles	CA	90007	213-746-1995	213-746-7443	K- 5	1 TRK	C	1-Dr George J McKenna III	2020-05-14
